channel_name,quantity_type,unit,notes
HVC Acceleration Y,Acceleration,m/s/s,
HVC Acceleration Z,Acceleration,m/s/s,
PDU Acceleration X,Acceleration,m/s/s,
PDU Acceleration Y,Acceleration,m/s/s,
PDU Acceleration Z,Acceleration,m/s/s,
Front Left Acceleration X,Acceleration,m/s/s,
Front Left Acceleration Y,Acceleration,m/s/s,
Front Left Acceleration Z,Acceleration,m/s/s,
Front Right Acceleration X,Acceleration,m/s/s,
Front Right Acceleration Y,Acceleration,m/s/s,
Front Right Acceleration Z,Acceleration,m/s/s,
Back Left Acceleration X,Acceleration,m/s/s,
Back Left Acceleration Y,Acceleration,m/s/s,
Back Left Acceleration Z,Acceleration,m/s/s,
Back Right Acceleration X,Acceleration,m/s/s,
Back Right Acceleration Y,Acceleration,m/s/s,
Back Right Acceleration Z,Acceleration,m/s/s,
VCU Gyro X,Angular Speed,rad/s,
VCU Gyro Y,Angular Speed,rad/s,
VCU Gyro Z,Angular Speed,rad/s,
HVC Gyro X,Angular Speed,rad/s,
HVC Gyro Y,Angular Speed,rad/s,
HVC Gyro Z,Angular Speed,rad/s,
PDU Gyro X,Angular Speed,rad/s,
PDU Gyro Y,Angular Speed,rad/s,
PDU Gyro Z,Angular Speed,rad/s,
GPS Latitude,Angle,deg,
GPS Longitude,Angle,deg,
GPS Speed,Speed,knots,raw GPS speed from log
GPS Heading,Angle,deg,
GPS Hour,Time,,timestamp component / discrete field
GPS Minute,Time,,timestamp component / discrete field
GPS Seconds,Time,s,timestamp component / discrete field
GPS Year,Time,,timestamp component / discrete field
GPS Month,Time,,timestamp component / discrete field
GPS Day,Time,,timestamp component / discrete field
GPS Milliseconds,Time,ms,timestamp component
